Name;Center;Scale;Angle;Signal Intensity;
A;0,0,0;1.38,1.84000003,1.79999995;0;2;
B;0,-0.0184,0;1.32480001,1.74800003,1.75999999;0;-0.98;
C;0.22,0,0;0.219999999,0.620000005,0.419999987;-18;-0.02;
D;-0.22,0,0;0.319999993,0.819999993,0.439999998;18;-0.02;
E;0,0.35,0;0.419999987,0.5,1;0;0.01;
F;0,0.1,0;0.0920000002,0.0920000002,0.0920000002;0;0.01;
G;0,-0.1,0;0.0920000002,0.0920000002,0.0399999991;0;0.01;
H;-0.08,-0.605,0;0.0920000002,0.0460000001,0.0399999991;0;0.01;
I;0,-0.605,0;0.0460000001,0.0460000001,0.200000003;0;0.01;
J;0.06,-0.605,0;0.0460000001,0.0920000002,0.200000003;0;0.01;
